id,action,purpose,why,contact,url,agency,labeler
000027e2f7df,Contact elected officials,funding,Parks supports but has no funding allocated; advises continuing to advocate.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
00027985a033,Track with agency,status,HPD supports and can accommodate; will keep funding this housing.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
0008882d4a3f,Contact agency,clarify,ACS does not understand the request and needs board clarification.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
0010e822a2ac,Contact elected officials,funding,Parks supports ballfield improvements but lacks capital funding available.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
0017730f4dba,Contact agency,discuss,"DEP reviewing location, no timeline; says to check in with DEP periodically.",,,,"claude-sonnet, label_followup/rubric.md with the sharpened rules, 2026-09-25 (targeted relabel)"
0018c89fed9e,Contact elected officials,funding,DOT capital street funding was cut citywide; no funds available.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
00228fba1e90,Track with agency,status,SBS already funding commercial revitalization grants and will keep notifying boards.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
004373c430ee,Contact agency,discuss,NYPD will accommodate only part of the request within existing resources.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
005a4dee6b96,Contact agency,study,Agency says request needs direct follow-up conversation and further investigation.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
005cff07c920,Contact elected officials,funding,High-end litter baskets need sponsorship from elected officials or others.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
005eabaa3b37,Contact agency,reconsider,DOT's published daylighting study supports the agency's decision not to proceed.,,https://www.nyc.gov/html/dot/downloads/pdf/daylighting-and-street-safety.pdf,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
0063995c6204,No follow-up needed,none,Request already completed; NYCIDA offers business incentive programs instead.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
0066ed7519de,Contact elected officials,funding,Approval depends on sufficient Federal/State funds beyond agency's control.,,https://capitaltracker.nycha.info/,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
008273f9a681,Contact agency and elected officials,funding,"NYPL supports but needs funding, and needs more information from board.",,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
00996ee6e14f,Contact agency,study,OMB says further study by HRA is needed on this request.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
00c39fdd8668,Track with agency,status,DSNY will continue current budgeted sanitation service levels for NYCHA buildings.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
00c925beac0f,Contact elected officials,funding,NYPL supports the project but says city funding support is necessary.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
00ccbdc2f95b,Use 311 or another channel,channel,Agency says this is not a capital budget request; OMB confirms it is not capital-eligible.,,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
00dc5ea09b92,Contact elected officials,funding,Parks supports phase 2/3 playground improvements but lacks capital funding.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
00e1448828b2,No follow-up needed,none,Community board already relocated to new space; request appears moot.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
00e4a9ffee84,Contact agency,clarify,Parks needs the specific location from the board to evaluate request.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
00e7560f3bef,Track with agency,status,DOT has begun scope of work and will provide future updates.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
00f646819424,Track with agency,status,Parks capital project is in progress; check status via tracker.,,https://www.nycgovparks.org/planning-and-building/capital-project-tracker/project/9587,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
01028cf6cd30,Contact agency,study,DEP will review locations once the area drainage plan is finished.,,,,"claude-sonnet, label_followup/rubric.md with the sharpened rules, 2026-09-25 (targeted relabel)"
011180c1cfe3,Contact elected officials,funding,OMB recommends bringing this funding request to Borough President or Council Member.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
0119a89d7831,Contact agency,discuss,DOT asks board to contact the Borough Commissioner's office to discuss.,Borough Commissioner's office,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
011dad394be5,Use 311 or another channel,channel,DOT says submit a request via the agency webform for milling/resurfacing.,,https://www.nyc.gov/html/dot/html/contact/contact-form.shtml,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
011f38ed914e,Contact agency,clarify,DCP needs additional information from the board to continue discussions.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
012fb4e17306,Contact agency,reconsider,Agency declines citing low car ownership; not the best use of public land.,,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
0130adb633af,Use 311 or another channel,channel,"DYCD funds programs only through public RFP solicitations, not board requests.",,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
0145add94d09,No follow-up needed,none,Playground Associate program already funded and scheduled to repeat in 2025.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
01466790cd9b,Track with agency,status,"ACS has 2,000+ unused prevention slots; families can access via existing services.",ACS Support Line: 212-676-7667 or connect@acs.nyc.gov,,,"claude-sonnet, label_followup/rubric.md with the redirect rule, 2026-09-25 (redirect relabel)"
015238dd8e60,Contact elected officials,funding,NYC Aging says it is seeking additional funding for this request.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
0153410b6db5,Track with agency,status,DOT has begun the process for implementation of this program.,,,,"claude-sonnet, label_followup/rubric.md, 2026-09-25"
